date,ticker,action,shares,price,value,reason
2026-07-05,HDFCBANK.NS,BUY,3,801.05,2403.15,Ensemble Rebalance to target weight=0.028
2026-07-05,SUNPHARMA.NS,BUY,1,1904.8,1904.8,Ensemble Rebalance to target weight=0.029
2026-07-05,BHARTIARTL.NS,BUY,1,1910.4,1910.4,Ensemble Rebalance to target weight=0.028
2026-07-05,DLF.NS,BUY,4,675.9,2703.6,Ensemble Rebalance to target weight=0.031
2026-07-05,TRENT.NS,BUY,3,3340.6,10021.8,Ensemble Rebalance to target weight=0.103
2026-07-05,PIDILITIND.NS,BUY,2,1598.0,3196.0,Ensemble Rebalance to target weight=0.034
2026-07-05,INDIGO.NS,BUY,1,5426.5,5426.5,Ensemble Rebalance to target weight=0.083
2026-07-05,BPCL.NS,BUY,7,308.15,2157.05,Ensemble Rebalance to target weight=0.024
2026-07-05,IREDA.NS,BUY,1,128.49,128.49,Ensemble Rebalance to target weight=0.002
2026-07-05,LALPATHLAB.NS,BUY,2,1645.7,3291.4,Ensemble Rebalance to target weight=0.034
2026-07-05,ICICIBANK.NS,BUY,1,1411.4,1411.4,Ensemble Rebalance to target weight=0.026
2026-07-05,ADANIENT.NS,BUY,3,3212.1,9636.3,Ensemble Rebalance to target weight=0.128
2026-07-05,CIPLA.NS,BUY,2,1458.2,2916.4,Ensemble Rebalance to target weight=0.036
2026-07-05,TATACOMM.NS,BUY,5,1906.7,9533.5,Ensemble Rebalance to target weight=0.101
2026-07-06,BPCL.NS,SELL,7,308.15,2157.05,Ensemble Rebalance to target weight=0.003
2026-07-06,AUBANK.NS,BUY,2,1061.4,2122.8,Ensemble Rebalance to target weight=0.024
2026-07-07,TRENT.NS,SELL,2,2927.8,5855.6,Ensemble Rebalance to target weight=0.039
2026-07-07,DLF.NS,BUY,1,651.1,651.1,Ensemble Rebalance to target weight=0.034
2026-07-07,BPCL.NS,BUY,8,313.95,2511.6,Ensemble Rebalance to target weight=0.026
2026-07-07,IREDA.NS,BUY,1,125.16,125.16,Ensemble Rebalance to target weight=0.003
2026-07-08,HDFCBANK.NS,SELL,3,810.3,2429.68,Nifty EMA-50 Circuit Breaker
2026-07-08,SUNPHARMA.NS,SELL,1,1888.2,1887.26,Nifty EMA-50 Circuit Breaker
2026-07-08,BHARTIARTL.NS,SELL,1,1888.1,1887.16,Nifty EMA-50 Circuit Breaker
2026-07-08,DLF.NS,SELL,5,634.0,3168.42,Nifty EMA-50 Circuit Breaker
2026-07-08,TRENT.NS,SELL,1,2924.0,2922.54,Nifty EMA-50 Circuit Breaker
2026-07-08,PIDILITIND.NS,SELL,2,1570.4,3139.23,Nifty EMA-50 Circuit Breaker
2026-07-08,INDIGO.NS,SELL,1,5124.0,5121.44,Nifty EMA-50 Circuit Breaker
2026-07-08,IREDA.NS,SELL,2,121.17,242.22,Nifty EMA-50 Circuit Breaker
2026-07-08,LALPATHLAB.NS,SELL,2,1653.5,3305.35,Nifty EMA-50 Circuit Breaker
2026-07-08,ICICIBANK.NS,SELL,1,1380.6,1379.91,Nifty EMA-50 Circuit Breaker
2026-07-08,ADANIENT.NS,SELL,3,3046.9,9136.13,Nifty EMA-50 Circuit Breaker
2026-07-08,CIPLA.NS,SELL,2,1431.8,2862.17,Nifty EMA-50 Circuit Breaker
2026-07-08,TATACOMM.NS,SELL,5,1886.2,9426.28,Nifty EMA-50 Circuit Breaker
2026-07-08,AUBANK.NS,SELL,2,1038.8,2076.56,Nifty EMA-50 Circuit Breaker
2026-07-08,BPCL.NS,SELL,8,303.55,2427.19,Nifty EMA-50 Circuit Breaker
2026-07-10,HDFCBANK.NS,BUY,3,824.95,2474.85,Ensemble Rebalance to target weight=0.030
2026-07-10,SUNPHARMA.NS,BUY,1,1935.5,1935.5,Ensemble Rebalance to target weight=0.025
2026-07-10,BHARTIARTL.NS,BUY,1,1920.4,1920.4,Ensemble Rebalance to target weight=0.023
2026-07-10,DLF.NS,BUY,5,685.75,3428.75,Ensemble Rebalance to target weight=0.036
2026-07-10,TRENT.NS,BUY,1,2902.8,2902.8,Ensemble Rebalance to target weight=0.038
2026-07-10,PIDILITIND.NS,BUY,2,1598.5,3197.0,Ensemble Rebalance to target weight=0.035
2026-07-10,SBIN.NS,BUY,2,1036.0,2072.0,Ensemble Rebalance to target weight=0.021
2026-07-10,INDIGO.NS,BUY,1,5312.0,5312.0,Ensemble Rebalance to target weight=0.094
2026-07-10,BPCL.NS,BUY,8,309.75,2478.0,Ensemble Rebalance to target weight=0.026
2026-07-10,IREDA.NS,BUY,1,126.4,126.4,Ensemble Rebalance to target weight=0.001
2026-07-10,LALPATHLAB.NS,BUY,1,1692.8,1692.8,Ensemble Rebalance to target weight=0.034
2026-07-10,ICICIBANK.NS,BUY,1,1401.2,1401.2,Ensemble Rebalance to target weight=0.028
2026-07-10,ADANIENT.NS,BUY,3,3157.3,9471.9,Ensemble Rebalance to target weight=0.118
2026-07-10,CIPLA.NS,BUY,2,1439.4,2878.8,Ensemble Rebalance to target weight=0.031
2026-07-10,AUBANK.NS,BUY,2,1072.1,2144.2,Ensemble Rebalance to target weight=0.025
2026-07-10,TATACOMM.NS,BUY,4,1856.2,7424.8,Ensemble Rebalance to target weight=0.093
2026-07-13,IREDA.NS,SELL,1,124.81,124.81,Ensemble Rebalance to target weight=0.001
2026-07-13,DLF.NS,BUY,2,682.35,1364.7,Ensemble Rebalance to target weight=0.054
2026-07-13,BPCL.NS,BUY,1,307.55,307.55,Ensemble Rebalance to target weight=0.029
2026-07-13,ICICIBANK.NS,BUY,1,1409.5,1409.5,Ensemble Rebalance to target weight=0.032
2026-07-14,SBIN.NS,SELL,2,1015.4,2030.8,Ensemble Rebalance to target weight=0.002
2026-07-14,TATACOMM.NS,SELL,1,1848.6,1848.6,Ensemble Rebalance to target weight=0.072
2026-07-14,DLF.NS,BUY,1,671.45,671.45,Ensemble Rebalance to target weight=0.061
2026-07-14,IREDA.NS,BUY,2,122.08,244.16,Ensemble Rebalance to target weight=0.003
2026-07-14,LALPATHLAB.NS,BUY,1,1744.6,1744.6,Ensemble Rebalance to target weight=0.041
2026-07-15,BPCL.NS,SELL,8,309.6,2476.8,Ensemble Rebalance to target weight=0.006
2026-07-15,DLF.NS,BUY,1,657.75,657.75,Ensemble Rebalance to target weight=0.064
2026-07-15,VOLTAS.NS,BUY,1,1377.4,1377.4,Ensemble Rebalance to target weight=0.026
2026-07-16,DLF.NS,SELL,1,648.1,648.1,Ensemble Rebalance to target weight=0.054
2026-07-16,TATACOMM.NS,SELL,1,1839.9,1839.9,Ensemble Rebalance to target weight=0.054
2026-07-16,BPCL.NS,BUY,8,312.0,2496.0,Ensemble Rebalance to target weight=0.030
2026-07-17,LALPATHLAB.NS,SELL,1,1687.4,1687.4,Ensemble Rebalance to target weight=0.033
2026-07-17,AUBANK.NS,SELL,2,1030.2,2060.4,Ensemble Rebalance to target weight=0.001
2026-07-17,HDFCBANK.NS,BUY,1,819.6,819.6,Ensemble Rebalance to target weight=0.036
2026-07-17,DLF.NS,BUY,2,667.8,1335.6,Ensemble Rebalance to target weight=0.075
2026-07-17,SBIN.NS,BUY,3,1044.3,3132.9,Ensemble Rebalance to target weight=0.033
2026-07-17,VOLTAS.NS,BUY,1,1342.4,1342.4,Ensemble Rebalance to target weight=0.028
2026-07-20,HDFCBANK.NS,SELL,1,777.6,777.6,Ensemble Rebalance to target weight=0.030
2026-07-20,VOLTAS.NS,SELL,1,1357.4,1357.4,Ensemble Rebalance to target weight=0.027
2026-07-20,TATACOMM.NS,SELL,1,1822.6,1822.6,Ensemble Rebalance to target weight=0.034
2026-07-20,DLF.NS,BUY,1,668.6,668.6,Ensemble Rebalance to target weight=0.078
2026-07-22,HDFCBANK.NS,SELL,3,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,SUNPHARMA.NS,SELL,1,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,BHARTIARTL.NS,SELL,1,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,DLF.NS,SELL,11,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,TRENT.NS,SELL,1,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,PIDILITIND.NS,SELL,2,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,INDIGO.NS,SELL,1,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,BPCL.NS,SELL,9,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,LALPATHLAB.NS,SELL,1,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,ICICIBANK.NS,SELL,2,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,ADANIENT.NS,SELL,3,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,CIPLA.NS,SELL,2,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,TATACOMM.NS,SELL,1,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,IREDA.NS,SELL,2,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,VOLTAS.NS,SELL,1,nan,nan,Nifty EMA-50 Circuit Breaker
2026-07-22,SBIN.NS,SELL,3,nan,nan,Nifty EMA-50 Circuit Breaker
